"Path","Root","PrimaryRole","SecondaryRoles","System","Namespace","Types","IncludedInScriptsProject","ProjectTruthAction","Commands","Hooks","SerializedTypes","Gumps","ConfigData","Evidence"
"Data/Scripts/Mobiles/Dragons/Primeval/PrimevalRedDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:PrimevalRedDragon","True","Keep","","","class:PrimevalRedDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Primeval/PrimevalRoyalDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:PrimevalRoyalDragon","True","Keep","","","class:PrimevalRoyalDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Primeval/PrimevalRunicDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:PrimevalRunicDragon","True","Keep","","","class:PrimevalRunicDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Primeval/PrimevalSeaDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:PrimevalSeaDragon","True","Keep","","","class:PrimevalSeaDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Primeval/PrimevalSilverDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:PrimevalSilverDragon","True","Keep","","","class:PrimevalSilverDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Primeval/PrimevalStygianDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:PrimevalStygianDragon","True","Keep","","","class:PrimevalStygianDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Primeval/PrimevalVolcanicDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:PrimevalVolcanicDragon","True","Keep","","","class:PrimevalVolcanicDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Primeval/ReanimatedDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:ReanimatedDragon","True","Keep","","","class:ReanimatedDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Primeval/VampiricDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:VampiricDragon","True","Keep","","","class:VampiricDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Wyrms/AncientWyrm.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:AncientWyrm","True","Keep","","","class:AncientWyrm","","","Mobiles root; serialization marker"
